速度与激情5; 评分: 9.2
京剧猫：霸王折; 评分: 暂无评分
超胆侠大战蜘蛛侠; 评分: 暂无评分
调音师; 评分: 7.7
假面骑士Build：只有一个答案; 评分: 7.1
宝莱坞机器人之恋; 评分: 7.1
银河护卫队：地狱; 评分: 8.3
黄金兄弟; 评分: 8.4
神奇动物：格林德沃之罪; 评分: 7.8
老炮儿; 评分: 9.1
小丑; 评分: 5.8
世上只有爸爸好; 评分: 暂无评分
远去的牧歌; 评分: 9.5
反贪风暴; 评分: 8.0
笑盗江湖; 评分: 暂无评分
疯狂外星人; 评分: 9.0
江湖儿女; 评分: 7.6
木兰传说; 评分: 暂无评分
贞子3D; 评分: 5.4
惊悚; 评分: 暂无评分
阿拉丁与神灯; 评分: 7.4
生化危机：终章; 评分: 8.5
牌皇; 评分: 暂无评分
寻秦记; 评分: 暂无评分
肖申克的救赎; 评分: 9.5
狗十三; 评分: 8.2
动物世界2; 评分: 暂无评分
狮子王; 评分: 8.8
未来机器城; 评分: 暂无评分
急先锋; 评分: 暂无评分
九克拉战栗; 评分: 暂无评分
印度合伙人; 评分: 9.2
夏目友人帐：曾几何时下雪之日; 评分: 暂无评分
神奇四侠; 评分: 7.9
拆弹·专家; 评分: 9.0
一代宗师3D; 评分: 8.2
奇迹男孩; 评分: 9.2
五月天追梦; 评分: 7.2
魔兽2; 评分: 暂无评分
鬼吹灯之龙岭迷窟; 评分: 暂无评分
守边人; 评分: 暂无评分
云南虫谷; 评分: 5.5
寒战2; 评分: 8.6
托尔金; 评分: 暂无评分
惊天魔盗团2; 评分: 8.5
当幸福来敲门; 评分: 8.9
美国队长3(英雄内战); 评分: 暂无评分
无问西东; 评分: 8.6
从21世纪安全撤离; 评分: 暂无评分
黑衣人：异形入侵; 评分: 8.2
盗墓笔记; 评分: 8.0
解忧杂货店; 评分: 8.5
西游记女儿国; 评分: 7.9
岁月忽已暮; 评分: 暂无评分
哥斯拉：怪兽行星; 评分: 7.8
勇敢者游戏：决战丛林; 评分: 8.6
王者天下; 评分: 暂无评分
唐山大地震; 评分: 8.3
猫公主苏菲; 评分: 暂无评分
亮光; 评分: 暂无评分
与神同行：罪与罚; 评分: 7.6
变形金刚3; 评分: 8.6
妖猫传; 评分: 7.5
为家而战; 评分: 8.0
麦兜我和我妈妈; 评分: 8.3
西伯利亚风云; 评分: 暂无评分
超人总动员2; 评分: 8.9
法医秦明之舐犊情深; 评分: 暂无评分
找到你; 评分: 8.9
霸王别姬; 评分: 9.5
哆啦A梦：伴我同行; 评分: 9.0
生化危机4D：执行者; 评分: 6.3
反贪风暴2; 评分: 8.3
祖宗十九代; 评分: 7.6
深夜食堂; 评分: 暂无评分
双生日本版; 评分: 暂无评分
王牌特工2：黄金圈; 评分: 8.7
北京·晚九朝五; 评分: 暂无评分
冷血追击; 评分: 6.9
安娜贝尔回家; 评分: 暂无评分
厉害了，我的国; 评分: 9.6
黑社会3; 评分: 暂无评分
画个圈圈; 评分: 暂无评分
乘风破浪; 评分: 8.7
重庆森林; 评分: 8.6
蓝色生死恋; 评分: 7.6
勇敢者游戏2; 评分: 暂无评分
假面骑士平成世代 FINAL Build & EX-AID with 传说骑士; 评分: 7.3
指环王3：王者无敌; 评分: 9.2
云雾笼罩的山峰; 评分: 暂无评分
一级指控; 评分: 暂无评分
天下父母; 评分: 暂无评分
捍卫者; 评分: 9.1
掠食城市; 评分: 8.3
欢迎来北方; 评分: 8.1
第一滴血5; 评分: 暂无评分
爱乐之城; 评分: 8.6
大侦探福尔摩斯; 评分: 8.5
宠物坟场; 评分: 6.7
黑寡妇; 评分: 暂无评分
僵尸世界大战2; 评分: 暂无评分
神奇动物在哪里3; 评分: 暂无评分
胖子行动队; 评分: 8.2
神偷奶爸3; 评分: 8.8
神秘巨星; 评分: 9.3
闪光少女; 评分: 9.2
代号基亚斯：复活的鲁路修; 评分: 暂无评分
惊天魔盗团3; 评分: 暂无评分
真・雀鬼11 奪われた死闘 片腕の代走屋; 评分: 暂无评分
笔仙大战贞子3结盟; 评分: 暂无评分
大话西游之大圣娶亲; 评分: 8.8
大侦探福尔摩斯2：诡影游戏; 评分: 8.5
功夫; 评分: 9.1
小萝莉的猴神大叔; 评分: 9.5
地狱男爵2：黄金军团; 评分: 6.8
海门深处; 评分: 暂无评分
猩球崛起3：终极之战; 评分: 8.2
乐高漫威超级英雄：银河护卫队之灭霸危机; 评分: 暂无评分
毒液：真实的新闻; 评分: 暂无评分
哭泣女人的诅咒; 评分: 暂无评分
蜡笔小新：爆盛！功夫男孩〜拉面大乱〜; 评分: 7.0
雷神小队3; 评分: 7.3
新白蛇传; 评分: 暂无评分
新乌龙院之笑闹江湖; 评分: 7.5
哈利·波特与死亡圣器（下）; 评分: 9.0
动画片; 评分: 7.5
鹰眼; 评分: 6.9
星球大战外传：侠盗一号; 评分: 8.0
雪怪大冒险; 评分: 9.2
盗梦空间; 评分: 9.2
游戏人生ZERO; 评分: 8.1
美食大冒险之英雄烩; 评分: 8.6
宝贝老板; 评分: 6.3
别告诉她; 评分: 暂无评分
神奇四侠2015; 评分: 5.5
恭喜八婆; 评分: 暂无评分
这个杀手不太冷; 评分: 9.5
捉妖学院; 评分: 暂无评分
杀破狼3; 评分: 暂无评分
源·彩虹; 评分: 暂无评分
风语咒; 评分: 9.0
航海王之黄金城; 评分: 9.0
母子情深; 评分: 8.7
你好，之华; 评分: 7.8
DC电影出品：正义联盟黎明; 评分: 8.0
荞麦疯长; 评分: 暂无评分
蝙蝠侠：侠影之谜; 评分: 8.7
恐龙当家; 评分: 8.3
金蝉脱壳3：恶魔车站; 评分: 暂无评分
恐怖电影胶片; 评分: 暂无评分
第十一回; 评分: 暂无评分
非凡任务; 评分: 8.7
一生有你; 评分: 暂无评分
马戏之王; 评分: 8.9
叶问3; 评分: 8.4
缝纫机乐队; 评分: 9.3
情圣; 评分: 8.6
精灵王座; 评分: 8.7
驴得水; 评分: 8.5
麦子的盖头; 评分: 暂无评分
星游记之冲出地球; 评分: 暂无评分
驯龙高手番外篇：驯龙赛手的起源; 评分: 7.1
起立，老师好！; 评分: 暂无评分
瞒天过海：美人计; 评分: 6.5
封神三部曲; 评分: 暂无评分
名侦探柯南OVA9：十年后的陌生人; 评分: 7.3
三体2; 评分: 暂无评分
虫林大作战; 评分: 8.1
悟空传; 评分: 7.6
极限特工4; 评分: 暂无评分
四个春天; 评分: 9.0
灵魂战车; 评分: 7.8
速度与激情3：东京漂移; 评分: 6.0
惊天动地; 评分: 5.9
绿灯侠; 评分: 7.4
熊出没之雪岭熊风; 评分: 9.2
紫罗兰永恒花园 电影版; 评分: 暂无评分
疯狂动物城2; 评分: 暂无评分
奇幻森林; 评分: 8.9
绿灯军团; 评分: 暂无评分
切尔诺贝利·禁区电影版; 评分: 暂无评分
天长地久; 评分: 暂无评分
变形金刚; 评分: 7.7
龙珠Z：复活的弗利萨; 评分: 7.9
人再囧途之泰囧; 评分: 8.7
法医秦明之只如初见; 评分: 暂无评分
绝密工程; 评分: 暂无评分
变形金刚2; 评分: 8.6
魁拔之十万火急; 评分: 8.7
印度暴徒; 评分: 8.1
再见，少年; 评分: 暂无评分
万达，残暴的催眠师; 评分: 暂无评分
中国蓝盔; 评分: 7.8
招魂2; 评分: 8.8
头号嫌疑人; 评分: 暂无评分
守望者; 评分: 8.4
西游记之再世妖王; 评分: 暂无评分
小时代4：灵魂尽头; 评分: 8.3
天气预爆; 评分: 6.8
好好的活着; 评分: 暂无评分
爬行; 评分: 暂无评分
守望一生; 评分: 7.0
我的宠物是大象; 评分: 6.9
血战钢锯岭; 评分: 9.3
钢铁侠与浩克：联合战记; 评分: 5.5
熊出没·奇幻空间; 评分: 9.1
霍比特人3：五军之战; 评分: 9.1
环球恐怖片; 评分: 暂无评分
我的特工爷爷; 评分: 8.0
功夫熊猫3; 评分: 9.0
三生三世十里桃花; 评分: 7.1
我的12个情人劫; 评分: 暂无评分
三块广告牌; 评分: 8.6
前度; 评分: 8.0
忠犬八公的故事; 评分: 9.3
星际迷航3：超越星辰; 评分: 8.6
一条大鱼叫海棠; 评分: 暂无评分
怦然心动; 评分: 8.9
十二个想死的孩子; 评分: 6.3
左耳; 评分: 7.9
人间失格; 评分: 暂无评分
神奇女侠：血脉; 评分: 暂无评分
被光抓走的人; 评分: 暂无评分
闻烟; 评分: 暂无评分
盗梦特攻队; 评分: 暂无评分
双子杀手; 评分: 暂无评分
美女与野兽; 评分: 8.2
星游记之风暴法米拉II; 评分: 暂无评分
加勒比海盗4：惊涛怪浪; 评分: 7.1
喜羊羊与灰太狼大电影8; 评分: 暂无评分
太空旅客; 评分: 8.5
移动迷宫3：死亡解药; 评分: 8.0
寂静之地; 评分: 7.7
封神传奇; 评分: 6.2
敢问路在何方之殉难篇; 评分: 暂无评分
真假美猴王之战神归来; 评分: 暂无评分
雷神回归; 评分: 暂无评分
亲密旅行; 评分: 暂无评分
之后; 评分: 5.7
妈妈别走; 评分: 暂无评分
4D肉蒲团之扶桑千人斩; 评分: 暂无评分
指环王1：护戒使者; 评分: 9.0
憨豆特工2; 评分: 7.6
Re：从零开始的异世界生活 冰结之绊; 评分: 暂无评分
五尺天涯; 评分: 暂无评分
让子弹飞; 评分: 8.4
海兽之子; 评分: 暂无评分
大轰炸; 评分: 3.1
阿甘正传; 评分: 9.4
嫌疑人x的献身; 评分: 8.6
极限特工：终极回归; 评分: 8.7
西游记之孙悟空三打白骨精; 评分: 7.7
奎迪：英雄再起; 评分: 8.6
触不可及; 评分: 9.1
2012 3D; 评分: 8.3
印度奇游; 评分: 暂无评分
钢铁侠; 评分: 暂无评分
我爱喵星人; 评分: 暂无评分
麦路人; 评分: 暂无评分
功守道; 评分: 暂无评分
DC展台：超人与沙赞之黑亚当归来; 评分: 7.0
烟花; 评分: 5.7
保持沉默; 评分: 暂无评分
德云社戊戌年封箱庆典2019; 评分: 暂无评分
光天化日; 评分: 暂无评分
武林怪兽; 评分: 7.4
神奇四侠2; 评分: 7.8
